id,city,x,y,z
383,Lindenberg,14.118,52.209,97.0
384,Linderhof,10.961,47.567,926.0
385,Lippstadt-H?rste,8.436,51.69,80.0
386,List-Sylt,8.438,55.021,5.0
387,Loburg,12.087,52.118,76.0
388,L?bau,14.657,51.102,275.0
389,Loppenhausen,10.393,48.164,538.0
390,Loxstedt-Nesse,8.628,53.452,8.0
391,Luckau,13.705,51.848,63.0
392,L?chow,11.137,52.972,16.0
393,L?nen,7.515,51.618,50.0
394,Lychen,13.318,53.221,61.0
395,Magdeburg,11.583,52.103,79.0
396,Malsch,8.685,49.244,180.0
397,Margertshausen,10.711,48.307,500.0
398,Marienm?nster-V?rden,9.236,51.818,230.0
399,Markt-Essenbach-OT-Mirskofen,12.193,48.621,461.0
400,Marsberg,8.854,51.465,260.0
401,Martinsbuch,12.419,48.745,401.0
402,Mechernich,6.659,50.592,280.0
403,Meinersen,10.357,52.481,57.0
404,Meinhard-OT-Hitzelrode,10.059,51.243,380.0
405,Merzig-Silwingen,6.582,49.427,320.0
406,Mettlach,6.623,49.492,220.0
407,Molfsee,10.076,54.273,35.0
408,Monheim,10.849,48.84,513.0
409,Moormerland-Oldersum,7.342,53.331,3.0
410,M?cheln,11.793,51.3,137.0
411,M?hlhausen,10.44,51.199,233.0
412,Nettelsee,10.198,54.181,39.0
413,Neuglobsow,13.032,53.142,63.0
414,Neusalza-Spremberg,14.532,51.023,341.0
415,Neustadt-I.H.,10.877,54.089,2.0
416,Niesky,14.847,51.293,171.0
417,N?rdlingen,10.505,48.852,430.0
418,Nordenham-Schweewarden,8.47,53.542,8.0
419,Oberhausen-Rheinhausen,8.496,49.256,100.0
420,Oberthulba,9.958,50.203,270.0
421,Oppenheim,8.378,49.846,86.0
422,Ormont,6.454,50.325,570.0
423,Ortrand,13.759,51.372,111.0
424,Ostercappeln-Schwagstorf,8.205,52.381,58.0
425,Peine,10.241,52.32,81.0
426,P??neck,11.571,50.709,280.0
427,Prichsenstadt,10.352,49.815,100.0
428,Pr?m,6.416,50.205,500.0
429,Pulsnitz,14.015,51.195,265.0
430,Putlitz,12.043,53.252,55.0
431,Radbruch,10.293,53.31,10.0
432,Radebeul,13.675,51.119,246.0
433,Radolfzell,8.978,47.736,400.0
434,Rahden,8.603,52.435,45.0
435,Raitenbuch,11.127,49.014,560.0
